forum_id,comment_id,message,cleaned_message,sentiment_score
35896,1473276,"THIS IS AN ANIME ONLY DISCUSSION POST. DO NOT DISCUSS THE MANGA BEYOND THIS EPISODE.----------------------------------------I really enjoyed that... It's a shame Ichigo and Hitsugaya hog the fighting scenes... I want to see more of Kyouraku, Ukitake and especially Yachiru (she's 11th squad lieutenant so she must be really powerful...) I laughed at the end with Yachiru and Zaraki on the Shinkansen O_O And the rest of the Shinigami on their day out... XD I'd watch if they made an OVA of those Shinigami having a day out... it looks hilarious :P",anime discussion post discuss manga beyond episode really enjoyed shame ichigo hitsugaya hog fighting scenes want see kyouraku ukitake especially yachiru 11th squad lieutenant must really powerful laughed end yachiru zaraki shinkansen o_o rest shinigami day xd watch made ova shinigami day looks hilarious p,0.8856
35896,1474466,"Of course Hitsugaya had a chunk of the screen time, he's the most popular character. Still, it was an okay special. It reminds me of the Bounto arc, but not as painfully long. Well, I'm just keeping an eye out for the the next Bleach special at the upcoming Jump Super Fest. ",course hitsugaya chunk screen time popular character still okay special reminds bounto arc painfully long well keeping eye next bleach special upcoming jump super fest,0.8934
35896,2800449,I just rewatched it at midnight. It was great and funny. ,rewatched midnight great funny,0.7906
35896,4045671,"It was good but it was over before it started I think, it was far too rushed. It was cool to see all the shinigami in ""normal"" clothes even the baddies.",good started think far rushed cool see shinigami normal clothes even baddies,0.6369
35896,6781394,it feels like this ova is just a rushed fan service to me -.-,feels like ova rushed fan service,0.5859
35896,7098721,"Loved it! The best thing about this OVA was the credits and the ending. Gin: ""Go home safely"", that really creeped me out...Ok. One more thing. What about the necklace Renji wears at the fast food restaurant? To me it look like, well... a penis. What do you think?",loved it! best thing ova credits ending gin go home safely really creeped ok one thing necklace renji wears fast food restaurant look like well penis think,0.9646
35896,7117665,"Felt like a short movie or a descent filler episode. At least it had its own plot, unlike the first OVA.",felt like short movie descent filler episode least plot unlike first ova,0.3612
35896,7661291,"LOOL, Renji will never be able to become a pro liar.And Zaraki + Yachiru is lost like always. :)Anyway, this OVA had an obvious plotline with the usual powerups.Also, Byakuya in a suit during the ED. <33333",lool renji never able become pro liar zaraki yachiru lost like always anyway ova obvious plotline usual powerups also byakuya suit ed 33333,-0.4767
35896,9149606,lol Zaraki and the little girl were hilariousAnd was soifon always that tiny? O.oSent with Mal Updater,lol zaraki little girl hilariousand soifon always tiny osent mal updater,0.4215
35896,9216312,"I loved the OVA, i thought it was really good but I wanted to see more of Kenpachi :D",loved ova thought really good wanted see kenpachi,0.796
35896,9450072,an OK OVA for me. LOL @ Kenpachi and Yachiru xD they lost again. :D,ok ova lol kenpachi yachiru xd lost,0.7579
35896,9999929,"That was pretty good, even if it was overly rushed. Isn't it about time someone taught Ichigo to hide his spirtual power? XD",pretty good even overly rushed time someone taught ichigo hide spirtual power xd,0.8481
35896,10688025,a good awry of characters in this ova.. but i felt everything was fast.. the fight scene was rushed to say the least.. awful fighting by renji.. a gun against a hollow? but aside from that an above average episode :-),good awry characters ova felt everything fast fight scene rushed say least awful fighting renji gun hollow aside average episode,-0.2778
