forum_id,comment_id,message,cleaned_message,sentiment_score
1817650,58870871,anime discussion post discuss manga beyond episode leonard burns joke idk somehow episode felt like wanted prove shirna abilities powerful opponent fight pretty flashy expected lots visual coloring cinematics season finale idk penultimate episode season finale feeling season announced summer 2020,anime discussion post discuss manga beyond episode leonard burns joke idk somehow episode felt like wanted prove shirna abilities powerful opponent fight pretty flashy expected lots visual coloring cinematics season finale idk penultimate episode season finale feeling season announced summer 2020,0.8316
1817650,58870901,fine sakuga start episode good thing ended season nice looking action story shinra learns truth incident happened 12 years ago credits scene felt like concluding point season guess got s2 thatnot bad season overall tho production ups downs definitely would prefer manga anime,fine sakuga start episode good thing ended season nice looking action story shinra learns truth incident happened 12 years ago credits scene felt like concluding point season guess got s2 thatnot bad season overall tho production ups downs definitely would prefer manga anime,0.9001
1817650,58871194,awesome! episode really love fire force lot wait season overall 9 10 latom,awesome! episode really love fire force lot wait season overall 9 10 latom,0.8024
1817650,58871225,damnnn bro fridays without dr stone fire force combo gonna hit believe people really passed show fan service style substance bs straight heat along bc definitely fave new gen fights consistently amazing sound design like eargasm every time issues op fact camera seemed linger characters finished talking odd season coming soon wait see current arc animated already great time start reading,damnnn bro fridays without dr stone fire force combo gonna hit believe people really passed show fan service style substance bs straight heat along bc definitely fave new gen fights consistently amazing sound design like eargasm every time issues op fact camera seemed linger characters finished talking odd season coming soon wait see current arc animated already great time start reading,0.9477
1817650,58871250,nice see shinra well enough return active duty station mention welcome messages team well battle burns shinra sure showed powerful burns even shinra newfound speed though shinra managed discover truth sure one rather uncomfortable shinra haumea kid creepy character adult asako reaction resemblance sure amusing overall excellent finale introducing heavy revelations series finally revealed rather cruel truth behind events past also well introduce new direction 8th take fight truth wait see s2 begins overall season solid 8 10,nice see shinra well enough return active duty station mention welcome messages team well battle burns shinra sure showed powerful burns even shinra newfound speed though shinra managed discover truth sure one rather uncomfortable shinra haumea kid creepy character adult asako reaction resemblance sure amusing overall excellent finale introducing heavy revelations series finally revealed rather cruel truth behind events past also well introduce new direction 8th take fight truth wait see s2 begins overall season solid 8 10,0.9709
1817650,58871342,post credit scene,post credit scene,0.3818
1817650,58871363,rather enjoyed series watched action disappointed fight scenes eargasms animation point pleasure experience one best animated action shonen seen liked last battle scene captain burns little backstory ending weaker side finale thankful cliffhanger instead lighthearted still could ended better note unfortunately many people rated show 3 shame feel fighting kept show disaster taken shonen definitely worth 3 lol opinion others hate matter,rather enjoyed series watched action disappointed fight scenes eargasms animation point pleasure experience one best animated action shonen seen liked last battle scene captain burns little backstory ending weaker side finale thankful cliffhanger instead lighthearted still could ended better note unfortunately many people rated show 3 shame feel fighting kept show disaster taken shonen definitely worth 3 lol opinion others hate matter,0.6326
1817650,58871380,enjoyed immensely despite criticism leveled fun entertaining bereft patronising endless monologues shounen series,enjoyed immensely despite criticism leveled fun entertaining bereft patronising endless monologues shounen series,0.7099
1817650,58871394,potential last episode kept show alive 10 series overall,potential last episode kept show alive 10 series overall,0.3818
1817650,58871410,bit worried last weeks episode really live expectations finale straight fire decent sakuga reveal happened 12 years ago contrast quite chilling really liked post ending scene part maki beni hilarious great watch point particular thanks characters interactions series also hottest girls recent battle shounen p think hope plot going pick real therefore glad second season already announced,bit worried last weeks episode really live expectations finale straight fire decent sakuga reveal happened 12 years ago contrast quite chilling really liked post ending scene part maki beni hilarious great watch point particular thanks characters interactions series also hottest girls recent battle shounen p think hope plot going pick real therefore glad second season already announced,0.9226
1817650,58871478,best boy charon go truth 12 years ago hopefully demon infernal mom shinra still alive bring back human form like demon slayer plot loldamn hibana hot,best boy charon go truth 12 years ago hopefully demon infernal mom shinra still alive bring back human form like demon slayer plot loldamn hibana hot,0.9231
1817650,58871488,wasted potential shame 3 10 anime pd good thing bara material lol,wasted potential shame 3 10 anime pd good thing bara material lol,-0.1531
1817650,58871499,first fire force even watchlist radar many charming guys ranging bara men like captain 1st 8th squad vulcan adorkable boys like shinra arthur next season welcomed,first fire force even watchlist radar many charming guys ranging bara men like captain 1st 8th squad vulcan adorkable boys like shinra arthur next season welcomed,0.8316
1817650,58871503,solid finale! finally truth absolutely horrific! seeing mother pain dragging horns cover eyes like seriously hurt yikes really hope shinra finds way revert back ends misery case haumei whatever name definitely enemy want face good thing arthur got plasma though definitely irk future upcoming arcs sure sho adolla burst giving rise shinra fire prowess makes sense target sho initially instead conducting attack sho birth even captain 1 seen much literally well glad finally let secret hoping show sneak peek things evangelist side could know sho mom state suppose season cover overall show fairly good constant ups downs started fire seemed die bit rose back final 3 episodes much thanks david production indeed! course taking away feels though unnecessary complications currently however lookong forward end day mission accomplished team suppose character interactions really nice soundtracks fairly good especially battle osts much better comedy honest animation quality brilliant way especially magnificent hype moments surely treat watch! really nice use effects imo doubt strongest department series great looking shows year certainly among finest personally problem directing transition different scenes anything else course comedy moments dulled experience bit award show healthy 7 0 10 bloody fun keep nonetheless genuinely curious see things unfold next note looking forward season upcoming summer hoping consist two cours effectively live rumours way,solid finale! finally truth absolutely horrific! seeing mother pain dragging horns cover eyes like seriously hurt yikes really hope shinra finds way revert back ends misery case haumei whatever name definitely enemy want face good thing arthur got plasma though definitely irk future upcoming arcs sure sho adolla burst giving rise shinra fire prowess makes sense target sho initially instead conducting attack sho birth even captain 1 seen much literally well glad finally let secret hoping show sneak peek things evangelist side could know sho mom state suppose season cover overall show fairly good constant ups downs started fire seemed die bit rose back final 3 episodes much thanks david production indeed! course taking away feels though unnecessary complications currently however lookong forward end day mission accomplished team suppose character interactions really nice soundtracks fairly good especially battle osts much better comedy honest animation quality brilliant way especially magnificent hype moments surely treat watch! really nice use effects imo doubt strongest department series great looking shows year certainly among finest personally problem directing transition different scenes anything else course comedy moments dulled experience bit award show healthy 7 0 10 bloody fun keep nonetheless genuinely curious see things unfold next note looking forward season upcoming summer hoping consist two cours effectively live rumours way,0.9942
1817650,58871546,haumea girl creepy af younger shinra finally learned happened 12 years ago feel sorry nice see princess hibana really hot 7 10 anime great watch looking forward season látom,haumea girl creepy af younger shinra finally learned happened 12 years ago feel sorry nice see princess hibana really hot 7 10 anime great watch looking forward season látom,0.765
1817650,58871579,manga chapter episode finish would like catch thanks!,manga chapter episode finish would like catch thanks!,0.69
1817650,58871589,shinra vs burns fight great time shinra able damage bit finally truth 12 years ago revealed sad story hope shinra finds mom someday saves post credit scene hilarious damn boy hibana hot af,shinra vs burns fight great time shinra able damage bit finally truth 12 years ago revealed sad story hope shinra finds mom someday saves post credit scene hilarious damn boy hibana hot af,0.4588
1817650,58871619,manga chapter episode finish would like catch thanks!i suppose chapter 90,manga chapter episode finish would like catch thanks!i suppose chapter 90,0.4199
1817650,58871620,pretty generic shounen started great overuse cheap comedy bad fan service inappropriate time almost ruined everything show saved last 3 episodes incredible openings endings mayday coldrain feat ryo crystal lake one best songs 2019final score 7 10 waiting season summer 2020,pretty generic shounen started great overuse cheap comedy bad fan service inappropriate time almost ruined everything show saved last 3 episodes incredible openings endings mayday coldrain feat ryo crystal lake one best songs 2019final score 7 10 waiting season summer 2020,0.9152
1817650,58871739,ok series pretty classic series nothing special say bit entertaining watch second season,ok series pretty classic series nothing special say bit entertaining watch second season,0.722
1817650,58871757,pretty generic shounen started great overuse cheap comedy bad fan service inappropriate time almost ruined everything show saved last 3 episodes incredible openings endings mayday coldrain feat ryo crystal lake one best songs 2019final score 7 10 waiting season summer 2020 curious liked episode 17 benimaru introduced,pretty generic shounen started great overuse cheap comedy bad fan service inappropriate time almost ruined everything show saved last 3 episodes incredible openings endings mayday coldrain feat ryo crystal lake one best songs 2019final score 7 10 waiting season summer 2020 curious liked episode 17 benimaru introduced,0.9509
